Product Name,Supplier,Lead Time (days),Supplier Code,Preferred Supplier,Comment,Website
DMO CUSTOM COLOUR FRONT FABRIC BLUE SWIRL OR PINK HEARTS,D M ORTHOTICS,27,DM51,,,
DMO CUSTOM BRA FRONT TO ANY GARMENT,D M ORTHOTICS,27,DM08,,,
DMO CUSTOM ALTERATION VERY SMALL,D M ORTHOTICS,27,DM94,,,
DMO CUSTOM ALTERATION SMALL,D M ORTHOTICS,27,DM95,,,
DMO CUSTOM ALTERATION MEDIUM,D M ORTHOTICS,27,DM96,,,
DMO CUSTOM ALTERATION LARGE,D M ORTHOTICS,27,DM97,,,
DMO CUSTOM ALTERATION EX-LARGE,D M ORTHOTICS,27,DM98,,,
DMO CUSTOM ALTERATION 2X-LARGE,D M ORTHOTICS,27,DM99,,,
DMO CUSTOM SILVER TREATMENT LARGE ITEMS,D M ORTHOTICS,27,DM00Z,,,
EACH ADDITIONAL REQUIRED RE-LASTING OF THE ABOVE SINGLE ITEM,HUGH STEEPER LIMITED,27,A1G,,,
ADDITIONAL COST OF ONE BOOT OR SHOE MANUFACTURED TO A CAST,HUGH STEEPER LIMITED,27,A1K,,,
WELTED CONSTRUCTION TO SOLES (PAIR),HUGH STEEPER LIMITED,27,A2,,,
WELTED CONSTRUCTION TO HEELS (PAIR),HUGH STEEPER LIMITED,27,A3,,,
LEATHER SOLE & HEEL w/RUBBER TOP PIECE,HUGH STEEPER LIMITED,27,A5,,,
COMMANDO TYPE SOLES AND HEELS EXTRA TO A1A A1B A1C,HUGH STEEPER LIMITED,27,A6,,,
INSIDE COMPENSATING RAISE FROM 1-25mm,HUGH STEEPER LIMITED,27,A8,,,
EACH ADDITIONAL 25mm OR PART THEREOF,HUGH STEEPER LIMITED,27,A9,,,
LEVELLING CRADLE MOULDED TO A CAST UP TO 25mm,HUGH STEEPER LIMITED,27,A10,,,
EACH ADDITIONAL 25mm OR PART THEREOF,HUGH STEEPER LIMITED,27,A13b,,,
ANY ADDITIONAL PADDING TO ONE SINGLE ITEM OF FOOTWEAR,HUGH STEEPER LIMITED,27,A15,,,
HIGH OR ELONGATED STIFFENER UP TO 150mm TO ONE SIDE OF UPPER,HUGH STEEPER LIMITED,27,A16,,,
LAMBSWOOL LINING UP TO 150mm IN A SINGLE ITEM OF FOOTWEAR,HUGH STEEPER LIMITED,27,A18A,,,
INCLUSION OF A METBAR ROCKER SOLE OR SOLE WEDGE,HUGH STEEPER LIMITED,27,A19,,,
INCLUSION OF A STIFFENER OR SOLE PLATE IN COMPOSITE MATERIAL,HUGH STEEPER LIMITED,27,A20,,,
ADDITION OF A RUBBER OR STEEL TIP TO THE TOE OR HEEL,HUGH STEEPER LIMITED,27,A23,,,
ADDITION OF A THIN STICK-ON SOLE,HUGH STEEPER LIMITED,27,A25,,,
INCLUSION OF A FLOATED SOLE,HUGH STEEPER LIMITED,27,A26,,,
INCLUSION OF AN ELONGATED FLOATED OR WEDGE TO THE HEEL,HUGH STEEPER LIMITED,27,A31,,,
SINGLE OR DOUBLE TOE ROUND OR RECTANGULAR SOCKET wo/BACKSTOP,HUGH STEEPER LIMITED,27,A37A,,,
INCLUSION OF A SINGLE OR DOUBLE SOCKET w/FRONT OR BACKSTOPS,HUGH STEEPER LIMITED,27,A37B,,,
ADDITION OF A LINED & PADDED T OR Y STRAP,HUGH STEEPER LIMITED,27,A38,,,
ADDITIONAL COST OF COVERING INLAY IN SINGLE DENSITY MATERIAL,HUGH STEEPER LIMITED,27,A44A,,,
ADDITIONAL COST OF A COVERING INLAY IN DUAL DENSITY MATERIAL,HUGH STEEPER LIMITED,27,A44B,,,
ADDITIONAL COST OF COVERING INLAY IN MULTI DENSITY MATERIALS,HUGH STEEPER LIMITED,27,A44C,,,
METATARSAL VALGUS OR HEEL PAD OR HEEL WEDGE TO SHOE OR INLAY,HUGH STEEPER LIMITED,27,A45,,,
TOE FILLER TO COMPENSATE FOR PART AMPUTATION,HUGH STEEPER LIMITED,27,A46,,,
ANY ADDITIONAL PADDING,HUGH STEEPER LIMITED,27,B9,,,
LOWERING THE UPPER BENEATH THE ANKLE ON ONE SIDE,HUGH STEEPER LIMITED,27,B10,,,
ADDITION OF A HIGH OR ELONGATED STIFFENER,HUGH STEEPER LIMITED,27,B15,,,
INCLUSION OF A FLOATED SOLE,HUGH STEEPER LIMITED,27,B19,,,
F/L OR 1/2 ELONGATED OBLIQUE FLOATED WEDGE/TORQUE HEEL,HUGH STEEPER LIMITED,27,B25,,,
EXCAVATE INSIDE OF HEEL & APPLY SOFT INSERT,HUGH STEEPER LIMITED,27,B36,,,
METATARSUL OR VALGUS SUPPORT OR HEEL PAD TO B40,HUGH STEEPER LIMITED,27,B41,,,
HEEL ELEVATOR IN CORK HDP OR EVA w/SUITABLE COVERING,HUGH STEEPER LIMITED,27,B43,,,
COVERING B54 IN A SINGLE DENSITY MATERIAL,HUGH STEEPER LIMITED,27,B55A,,,
COVERING B54 IN A DUAL DENSITY MATERIAL,HUGH STEEPER LIMITED,27,B55B,,,
ADDITIONAL POSTING TO ANY FFOs - B40-B50-B51-B54,HUGH STEEPER LIMITED,27,B56,,,
RELASTING OF A01A/A01B - SINGLE ITEM OF FOOTWEAR,"JANE,SAUNDERS & MANNING",32,A01G,,,
NEW BOOT UPPERS REQUIRED FOLLOWING MID FIT,"JANE,SAUNDERS & MANNING",32,A01H,,,
WELTED CONSTRUCTION TO SOLES (PAIR),"JANE,SAUNDERS & MANNING",32,A02,,,
WELTED CONSTRUCTION TO HEELS (PAIR),"JANE,SAUNDERS & MANNING",32,A03,,,
LEATHER SOLE & HEEL w/RUBBER TOP PIECE (PAIR),"JANE,SAUNDERS & MANNING",32,A05,,,
EACH ADDITIONAL 25mm OR PART THEREOF,"JANE,SAUNDERS & MANNING",32,A09,,,
ADDITIONAL PADDING TO SINGLE ITEM OF FOOTWEAR,"JANE,SAUNDERS & MANNING",32,A15,,,
HIGH BOOT UPPERS EACH ADDITIONAL 25mm OR PART ABOVE 150mm,"JANE,SAUNDERS & MANNING",32,A17,,,
LAMBSWOOL LINING UP TO 150mm SINGLE ITEM OF FOOTWEAR,"JANE,SAUNDERS & MANNING",32,A18A,,,
METATARSAL SUPPORT BAR ROCKER SOLE OR WEDGE SOLE - EACH,"JANE,SAUNDERS & MANNING",32,A19,,,
STIFFENER OR SOLE PLATE IN NON-COMPOSITE MATERIAL - EACH,"JANE,SAUNDERS & MANNING",32,A22,,,
ADDITION OF A RUBBER OR STEEL TIP TO THE TOE OR HEEL,"JANE,SAUNDERS & MANNING",32,A23,,,
ADDITION OF A THIN STICK-ON SOLE,"JANE,SAUNDERS & MANNING",32,A25,,,
INCLUSION OF A FLOATED SOLE,"JANE,SAUNDERS & MANNING",32,A26,,,
ADDITION OF A LINED & PADDED T OR Y STRAP,"JANE,SAUNDERS & MANNING",32,A38,,,
STIRRUP/HEEL/TOE RAISING OR CALIPER RETAINING STRAP,"JANE,SAUNDERS & MANNING",32,A40,,,
